"Name","Gross Export","Share","Code","Sector"
"Horses","1518631","0.0000659688375925606","0101","Agriculture"
"Bovine","60814132","0.0026417461498155527","0102","Agriculture"
"Swine","506273472","0.021992355254034573","0103","Agriculture"
"Sheep","922356","0.00004006684518261766","0104","Agriculture"
"Fowl","15347662","0.0006666974544201415","0105","Agriculture"
"Other live animals","63134612","0.0027425470476352245","0106","Agriculture"
"Beef","26372","0.0000011455911179154175","0201","Agriculture"
"Beef (frozen)","39769980","0.001727595019250485","0202","Agriculture"
"Pork","253480720","0.01101112018029747","0203","Agriculture"
"Lamb","35199996","0.0015290763980076681","0204","Agriculture"
"Horse meat","218009","0.000009470240179949274","0205","Agriculture"
"Edible offal","1759448","0.00007642984988753395","0206","Agriculture"
"Poultry","532794208","0.02314440741550051","0207","Agriculture"
"Other meat","50439852","0.0021910907947887233","0208","Agriculture"
"Pig and poultry fat","170502","0.000007406551523844021","0209","Agriculture"
"Preserved meat","14248685","0.0006189582503403094","0210","Agriculture"
"Live Fish","567070784","0.024633370748511005","0301","Agriculture"
"Fish, excluding fillets","177218048","0.007698294468493407","0302","Agriculture"
"Frozen fish, excluding fillets","2597890816","0.11285153360092659","0303","Agriculture"
"Fish fillets","3963616000","0.1721781921897253","0304","Agriculture"
"Preserved fish","453392992","0.01969524437131412","0305","Agriculture"
"Crustaceans","1560330880","0.0677802668412387","0306","Agriculture"
"Molluscs","3292511232","0.14302561895252344","0307","Agriculture"
"Milk","23982010","0.001041770728263261","0401","Agriculture"
"Milk, concentrated","32395938","0.0014072690288692005","0402","Agriculture"
"Fermented milk products","5114346","0.00022216552978713194","0403","Agriculture"
"Whey","1700018","0.00007384822998241818","0404","Agriculture"
"Butter","4011940","0.00017427737106057864","0405","Agriculture"
"Cheese","1952348","0.00008480936325951499","0406","Agriculture"
"Eggs, in shell","163047952","0.007082750098797942","0407","Agriculture"
"Egg yolks","15494639","0.0006730820875817467","0408","Agriculture"
"Honey","262525920","0.011404040731631027","0409","Agriculture"
"Edible animal products, n.e.c.","66690324","0.0028970060224973986","0410","Agriculture"
