"Name","Gross Export","Share","Code","Sector"
"Horses","116324160","0.0043022757952491325","0101","Agriculture"
"Bovine","60172452","0.00222549196813792","0102","Agriculture"
"Swine","427984544","0.01582910673407775","0103","Agriculture"
"Sheep","825614","0.00003053552356121736","0104","Agriculture"
"Fowl","1000264","0.000036994993955332054","0105","Agriculture"
"Other live animals","61247148","0.0022652398467217934","0106","Agriculture"
"Beef","153346","0.000005671537057291224","0201","Agriculture"
"Beef (frozen)","5600969","0.00020715312587377154","0202","Agriculture"
"Pork","198060272","0.007325304684994584","0203","Agriculture"
"Lamb","36226436","0.001339843062274783","0204","Agriculture"
"Horse meat","1242382","0.00004594978383728031","0205","Agriculture"
"Edible offal","4677783","0.00017300887946517624","0206","Agriculture"
"Poultry","576903616","0.021336912841738984","0207","Agriculture"
"Other meat","58794656","0.002174533866385102","0208","Agriculture"
"Pig and poultry fat","556095","0.00002056730139602183","0209","Agriculture"
"Preserved meat","10668056","0.0003945605032622826","0210","Agriculture"
"Live Fish","640209600","0.023678299211153806","0301","Agriculture"
"Fish, excluding fillets","150376864","0.005561722879861507","0302","Agriculture"
"Frozen fish, excluding fillets","2733259520","0.1010902315996115","0303","Agriculture"
"Fish fillets","4221583872","0.15613624985660515","0304","Agriculture"
"Preserved fish","492716000","0.01822321451306394","0305","Agriculture"
"Crustaceans","1047031040","0.03872468367935369","0306","Agriculture"
"Molluscs","2700705024","0.0998861960822492","0307","Agriculture"
"Milk","27667926","0.0010233046027114587","0401","Agriculture"
"Milk, concentrated","36965612","0.0013671816565378242","0402","Agriculture"
"Fermented milk products","9634619","0.00035633859827698225","0403","Agriculture"
"Whey","1965649","0.00007269998007856376","0404","Agriculture"
"Butter","9001321","0.0003329159261804918","0405","Agriculture"
"Cheese","2459497","0.00009096506187182316","0406","Agriculture"
"Eggs, in shell","164571504","0.006086714902965522","0407","Agriculture"
"Egg yolks","20861968","0.0007715846817003619","0408","Agriculture"
"Honey","237691200","0.008791063666427686","0409","Agriculture"
"Edible animal products, n.e.c.","81649592","0.0030198289276584266","0410","Agriculture"
"Human hair, unworked","7826350","0.0002894593536729434","0501","Agriculture"
"Brushmaking hair","174865664","0.00646744677672607","0502","Agriculture"
"Animal guts, except fish","1273030144","0.047083312487738734","0504","Agriculture"
"Feathers and down","794416320","0.029381670195485526","0505","Agriculture"
"Bones, simply prepared","2841312","0.00010508657740877652","0506","Agriculture"
"Whalebone & horns","23702060","0.0008766261371287158","0507","Agriculture"
"Coral and shells","10405052","0.0003848332398695901","0508","Agriculture"
"Animal products used in pharmaceuticals","3385001","0.00012519504004322157","0510","Agriculture"
"Animal products n.e.c.","260652800","0.009640303720258227","0511","Agriculture"
"Flower bulbs","14398701","0.0005325392660933849","0601","Agriculture"
"Other live plants","205203072","0.007589482784800382","0602","Agriculture"
"Cut flowers","110816048","0.004098557006863975","0603","Agriculture"
"Other parts of plants","69402944","0.0025668838364294316","0604","Agriculture"
"Potatoes","254503552","0.009412872369544977","0701","Agriculture"
"Tomatoes","200441872","0.00741338870841642","0702","Agriculture"
"Onions, shallots, garlic","1956375040","0.07235698053630092","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","581951744","0.021523619016154683","0704","Agriculture"
"Lettuce","96498040","0.0035690021899232515","0705","Agriculture"
"Carrots & turnips","459690016","0.017001740903647936","0706","Agriculture"
"Cucumbers","53773692","0.001988832358753177","0707","Agriculture"
"Legumes","27521832","0.0010179012825410735","0708","Agriculture"
"Other vegetables","734884928","0.02717988797879823","0709","Agriculture"
"Frozen vegetables","1097415680","0.0405881711708975","0710","Agriculture"
"Vegetables, provisionally preserved","170019296","0.006288202742285849","0711","Agriculture"
"Vegetables, dried","3705694976","0.1370559804585833","0712","Agriculture"
"Legumes, dried","571282752","0.021129023894717255","0713","Agriculture"
"Tubers","120778992","0.004467038780732986","0714","Agriculture"
"Cashew nuts & coconuts","6909967","0.0002555667177830493","0801","Agriculture"
"Other nuts","520518560","0.01925149858521165","0802","Agriculture"
"Bananas and plantains","21429808","0.0007925863746210265","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","68248768","0.002524196371776711","0804","Agriculture"
"Citrus fruit","1215764224","0.044965319273700705","0805","Agriculture"
"Grapes","690460480","0.025536839558352266","0806","Agriculture"
"Melons and papayas","130152224","0.004813709920733949","0807","Agriculture"
"Apples & pears","1803527168","0.06670386685758674","0808","Agriculture"
"Peaches & cherries","196087120","0.007252327204736421","0809","Agriculture"
"Other fresh fruit","260506608","0.009634896775535315","0810","Agriculture"
"Fruits and nuts, frozen","231177840","0.008550165549701599","0811","Agriculture"
"Fruits and nuts, provisionally preserved","53644708","0.0019840618558656046","0812","Agriculture"
"Fruits, dried","156632816","0.005793100702541167","0813","Agriculture"
"Peel of citrus fruit or melons","6574857","0.00024317259740645736","0814","Agriculture"
"Coffee","227474576","0.008413199479449148","0901","Agriculture"
"Tea","1688134400","0.06243603880954239","0902","Agriculture"
"Mate","144385","0.000005340112412563702","0903","Agriculture"
"Pepper","530007392","0.019602445217783815","0904","Agriculture"
"Vanilla","387941","0.000014348087055042942","0905","Agriculture"
"Cinnamon","131957096","0.004880463526512172","0906","Agriculture"
"Cloves","1524838","0.00005639648392110545","0907","Agriculture"
"Nutmeg","3270327","0.00012095379579486937","0908","Agriculture"
"Anise, fennel, etc.","51098072","0.001889873938049477","0909","Agriculture"
"Spices","542207168","0.02005365673731906","0910","Agriculture"
"Wheat and meslin","3446322","0.00012746301132313858","1001","Agriculture"
"Rye","41707","0.0000015425429815479054","1002","Agriculture"
"Barley","4275243","0.00015812084503948526","1003","Agriculture"
"Oats","458490","0.000016957358036058673","1004","Agriculture"
"Corn","10492691","0.0003880745884288218","1005","Agriculture"
"Rice","889225728","0.03288821794274886","1006","Agriculture"
"Grain sorghum","24828056","0.0009182713580041327","1007","Agriculture"
"Other cereals","45192916","0.001671470386061909","1008","Agriculture"
"Wheat or meslin flour","117056960","0.004329378571686621","1101","Agriculture"
"Cereal flours","4125707","0.00015259022170794026","1102","Agriculture"
"Cereal meals","13481960","0.0004986333894912029","1103","Agriculture"
"Worked cereal grains","42159964","0.0015592959592037872","1104","Agriculture"
"Potato flour","3790216","0.00014018200995877372","1105","Agriculture"
"Flour of dried legumes","57653128","0.0021323141909195824","1106","Agriculture"
"Malt","195192048","0.0072192227610799594","1107","Agriculture"
"Starches","237995504","0.008802318419813375","1108","Agriculture"
"Wheat gluten","177054752","0.006548410699578128","1109","Agriculture"
"Soya beans","112733824","0.004169486393033707","1201","Agriculture"
"Peanuts","320322944","0.011847217711558318","1202","Agriculture"
"Copra","4504","1.6658147526534554e-7","1203","Agriculture"
"Linseed","4614692","0.0001706754443284165","1204","Agriculture"
"Rape or colza seeds","406303","0.000015027209845634032","1205","Agriculture"
"Sunflower seeds","547864576","0.0202628972725806","1206","Agriculture"
"Other oil seeds","319331232","0.011810539015288701","1207","Agriculture"
"Flours of oil seeds","36729172","0.0013584368687909905","1208","Agriculture"
"Seeds used for sowing","246019840","0.009099100331204322","1209","Agriculture"
"Hop cones","663279","0.00002453152627276268","1210","Agriculture"
"Plants used in perfumery, pharmacy or insecticide","841699648","0.031130454949858357","1211","Agriculture"
"Seaweeds & edible vegetable products","399417408","0.014772544642828692","1212","Agriculture"
"Cereal straw and husks","10662634","0.0003943599693460107","1213","Agriculture"
"Forage products","1165882","0.00004312041375339955","1214","Agriculture"
"Lac","16504918","0.0006104381859621572","1301","Agriculture"
"Vegetable saps and extracts","1368771712","0.050624336386863374","1302","Agriculture"
"Vegetable materials used for plaiting","103633840","0.0038329213931200656","1401","Agriculture"
"Vegetable products n.e.c.","53802684","0.0019899046345371227","1404","Agriculture"
"Pig and poultry fat, rendered","1977147","0.00007312523625143252","1501","Agriculture"
"Bovine, sheep and goat fats","1924903","0.00007119297990290616","1502","Agriculture"
"Lard oil, tallow oil etc.","9338","3.453680763827257e-7","1503","Agriculture"
"Fish oils","87279320","0.0032280457117575883","1504","Agriculture"
"Wool grease","43196568","0.0015976349964120374","1505","Agriculture"
"Other animal fats and oils","1909929","0.00007063916307106263","1506","Agriculture"
"Soybean oil","222674992","0.008235685762002445","1507","Agriculture"
"Peanut oil","22174414","0.0008201257986821784","1508","Agriculture"
"Olive oil","1615956","0.00005976650409500148","1509","Agriculture"
"Olive oil, blended","150593","0.000005569716719501372","1510","Agriculture"
"Palm oil","35663540","0.0013190242243305197","1511","Agriculture"
"Sunflower seed oil","4739067","0.00017527548229158863","1512","Agriculture"
"Coconut & palm kernel oil","1766503","0.00006533451949392954","1513","Agriculture"
"Rapeseed, colza or mustard oil,","15033743","0.0005560264404307418","1514","Agriculture"
"Other vegetable fats and oils","129198136","0.0047784227567523865","1515","Agriculture"
"Vegetable fats, hydrogenated","41349084","0.0015293053760192482","1516","Agriculture"
"Margarine","30300326","0.0011206645217808405","1517","Agriculture"
"Animal or vegetable fats and oils, processed","391468256","0.014478543428959136","1518","Agriculture"
"Stearic acid","67860920","0.0025098517243480442","1519","Agriculture"
"Glycerol","3771370","0.000139484986316933","1520","Agriculture"
"Vegetable waxes and beeswax","52722880","0.0019499678353991521","1521","Agriculture"
"Degras and wax residues","1861488","0.00006884756155167352","1522","Agriculture"
"Sausages","135527936","0.005012531864686353","1601","Agriculture"
"Other prepared or preserved meat","1790212864","0.06621143426379204","1602","Agriculture"
"Extracts and juices of meat or fish","23154612","0.000856378647015247","1603","Agriculture"
"Prepared or preserved fish","3170356992","0.11725638207041812","1604","Agriculture"
"Prepared aquatic invertibrates","4643003392","0.1717225476690416","1605","Agriculture"
"Sugarcane & sucrose","101706248","0.0037616289599340805","1701","Agriculture"
"Other sugars","760788672","0.028137943904734255","1702","Agriculture"
"Molasses","654010","0.000024188710177239925","1703","Agriculture"
"Confectionery sugar","881239168","0.032592833185400905","1704","Agriculture"
"Cocoa beans","266683","0.000009863332053327741","1801","Agriculture"
"Cocoa residues","2469","9.131653251113191e-8","1802","Agriculture"
"Cocoa paste","3735439","0.00013815607002302553","1803","Agriculture"
"Cocoa butter","60566832","0.002240078203087997","1804","Agriculture"
"Cocoa powder","10615390","0.0003926126391467576","1805","Agriculture"
"Chocolates","317684480","0.011749633514055096","1806","Agriculture"
"Malt extract","491603616","0.018182072735137306","1901","Agriculture"
"Pasta","868723200","0.03212992723206745","1902","Agriculture"
"Tapioca","9468541","0.0003501961652731816","1903","Agriculture"
"Cereal foods","200182064","0.007403779649818343","1904","Agriculture"
"Bakery products","470480736","0.017400838163145107","1905","Agriculture"
"Pickled fruits and vegetables","126135720","0.0046651585970818275","2001","Agriculture"
"Tomatoes, prepared or preserved","619841856","0.022924993517693133","2002","Agriculture"
"Mushrooms, prepared or preserved","654149184","0.024193857929472016","2003","Agriculture"
"Other vegetables, frozen","302503232","0.011188151567294646","2004","Agriculture"
"Other vegetables, prepared or preserved","2019372928","0.07468697190433844","2005","Agriculture"
"Vegetables, fruits and nuts, preserved by sugar","234770784","0.008683051409396488","2006","Agriculture"
"Jams, jellies and marmalades","81086536","0.0029990041720773866","2007","Agriculture"
"Fruits and nuts, otherwise prepared","2862684416","0.10587704112708574","2008","Agriculture"
"Fruit juices","734729024","0.027174121833522972","2009","Agriculture"
"Coffee extracts","248652928","0.009196485696111843","2101","Agriculture"
"Yeasts","277334336","0.010257274163546853","2102","Agriculture"
"Sauces and seasonings","1153934464","0.04267853138824284","2103","Agriculture"
"Soups and broths","86408240","0.003195828617735799","2104","Agriculture"
"Ice cream","49143192","0.0018175722519112182","2105","Agriculture"
"Food preparations n.e.c.","1604947584","0.059359355298905875","2106","Agriculture"
"Waters","710809536","0.026289454071837415","2201","Agriculture"
"Waters, flavored or sweetened","217605232","0.008048179523094532","2202","Agriculture"
"Beer","245562928","0.009082201335860973","2203","Agriculture"
"Wine","365089184","0.013502907387686763","2204","Agriculture"
"Wine, flavored","915737","0.000033868743431408016","2205","Agriculture"
"Other fermented beverages","34625860","0.001280645391014946","2206","Agriculture"
"Ethyl alcohol > 80%","44951756","0.0016625510280301617","2207","Agriculture"
"Spirits < 80% alcohol","686745472","0.0253994391335604","2208","Agriculture"
"Vinegars","20123108","0.0007442577747699549","2209","Agriculture"
"Flours of fish, for animal feed","25865644","0.0009566467886785596","2301","Agriculture"
"Cereal residues","30400878","0.0011243834606131855","2302","Agriculture"
"Starch residues","321307680","0.011883638398864466","2303","Agriculture"
"Solid soybean residues","545387584","0.020171285154112466","2304","Agriculture"
"Solid peanut residues","101663","0.000003760029422713326","2305","Agriculture"
"Solid vegetable oil and fat residues","61103684","0.0022599337977059256","2306","Agriculture"
"Vegetable materials for animal feeding","97177296","0.003594124629213401","2308","Agriculture"
"Animal feed","1851972736","0.06849563732550584","2309","Agriculture"
"Unmanufactured tobacco","550737472","0.020369151991489105","2401","Agriculture"
"Cigars and cigarettes","736079936","0.027224085624356378","2402","Agriculture"
"Other manufactured tobacco","144687648","0.0053513059184087525","2403","Agriculture"
"Salt","115922936","0.004287436433385931","2501","Minerals"
"Unroasted iron pyrites","6112476","0.0002260713298410342","2502","Minerals"
"Sulphur, crude","8077703","0.00029875570215259935","2503","Minerals"
"Natural graphite","346146560","0.012802310084996545","2504","Minerals"
"Natural sands","44293888","0.0016382196288361422","2505","Minerals"
"Quartz","85919016","0.003177734555645388","2506","Minerals"
"Kaolin","115545544","0.004273478503520625","2507","Minerals"
"Clays","273430688","0.010112896844995207","2508","Minerals"
"Chalk","7389738","0.00027331115849564476","2509","Minerals"
"Natural calcium phosphates","63002460","0.0023301604645084195","2510","Minerals"
"Natural barium sulfate","169960640","0.006286033336643494","2511","Minerals"
"Siliceous fossil meals and earths","8755153","0.00032381134611763224","2512","Minerals"
"Natural abrasives","50909884","0.0018829137616135899","2513","Minerals"
