冲击顺序,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
CNY/USD->CNY/USD,0.0,0.06104681102524111,0.05810258757136142,0.04168523403608904,0.02644505284237873,0.015678159722293403,0.008906848679296803,0.004913984739489051,0.002653825177247532,0.001410113166173979,0.0007397499284361787,0.00038409256873569335,0.00019774029130042583,0.00010107874760567227,5.135622421976362e-05,2.595740673212501e-05
EUR/USD->CNY/USD,0.0,0.0024886606727236218,0.0010716111297838142,0.0005136616836798364,0.0002450879232361035,0.00011807817378871461,5.724633053836033e-05,2.7901900593248772e-05,1.365640771743215e-05,6.705162147994069e-06,3.2995379427331016e-06,1.6260267298446797e-06,8.019608620748999e-07,3.9564584177189697e-07,1.9517084730165087e-07,9.623815588699253e-08
JPY/USD->CNY/USD,0.0,0.24968049045277946,0.1355537229979256,0.06646768136473186,0.03152765090785057,0.01490589032246583,0.007046281057956215,0.0033321306714541423,0.001576338767402573,0.0007459997164225156,0.00035317097134458206,0.00016725703898700015,7.923782573898259e-05,3.75512941159655e-05,1.7801506642315467e-05,8.441570002116602e-06
GBP/USD->CNY/USD,0.0,0.0020042124423777755,0.000977456041548173,0.00046562927662499224,0.0002203918328925188,0.000105364627465191,5.085825753206292e-05,2.4755922347447075e-05,1.2132631782208589e-05,5.977051725770289e-06,2.9554537107714517e-06,1.4648897237058017e-06,7.270610221169654e-07,3.6104694295240373e-07,1.7927240491970237e-07,8.896588475721754e-08
CNY/USD->EUR/USD,0.0,2.297447460698049,1.149767431290097,0.6003145314213745,0.31614026841604487,0.16751417738666244,0.08856868175331782,0.04657378965618022,0.02432812645504173,0.012621632082698776,0.006505768177560957,0.003333301956654187,0.0016985622012776356,0.0008612918540789832,0.00043480532800396803,0.00021862861408804786
EUR/USD->EUR/USD,0.0,0.09365873576465662,0.016532566415973043,0.004627861593679044,0.002148113344948899,0.0010242184799071166,0.0004945889941631459,0.00024004605604346528,0.00011698589679294601,5.719499101273848e-05,2.8030229964314536e-05,1.3760463559376676e-05,6.762639878671044e-06,3.325527953881631e-06,1.635658161052568e-06,8.044065557672199e-07
JPY/USD->EUR/USD,0.0,9.396523735521631,1.6518394126232254,0.5794032989925031,0.26198446683529086,0.12234541165131617,0.057681026282763746,0.027262034541167417,0.012895172349218614,0.006102163690015241,0.0028886847807737567,0.001367946679581268,0.0006480171165961949,0.00030707725636932144,0.00014556201667132154,6.902126486693572e-05
GBP/USD->EUR/USD,0.0,0.07542691762451599,0.012871490447599263,0.0043688753958867,0.0019871409504718246,0.0009367281071938285,0.0004494130500890923,0.0002175049050962307,0.00010595366467568985,5.187465347872503e-05,2.549497779990952e-05,1.2564277219329203e-05,6.202908643553091e-06,3.065437794740731e-06,1.5155227124389652e-06,7.492039683081439e-07
CNY/USD->JPY/USD,0.0,0.01688936695040045,0.009442241366445323,0.004730320793228725,0.0022693297566099653,0.0010828459668311464,0.000516804576685345,0.00024696295125204955,0.00011815983354223192,5.659696356802067e-05,2.7136258596145917e-05,1.3022382581649537e-05,6.254123365386365e-06,3.0056062940916094e-06,1.4452540049555444e-06,6.952842915429404e-07
EUR/USD->JPY/USD,0.0,0.0006885192299280089,9.120247998586012e-05,1.8989086115616354e-05,8.08369842167171e-06,3.7475802684344317e-06,1.782195272509911e-06,8.477834227334265e-07,4.039810210806096e-07,1.92707833880338e-07,9.2022696515685e-08,4.398517717954426e-08,2.104249099912968e-08,1.0074652138520968e-08,4.826903845612928e-09,2.3140761676849217e-09
JPY/USD->JPY/USD,0.0,0.06907724339391556,0.012708414069782391,0.002330114252910137,0.0005743651854347971,0.000234868371446823,0.00010917540805013132,5.149207144731367e-05,2.4352808057745577e-05,1.1523239019533257e-05,5.454285816572541e-06,2.5823990269443144e-06,1.2230059974750887e-06,5.79362436825891e-07,2.745270405607617e-07,1.3011558838652444e-07
GBP/USD->JPY/USD,0.0,0.0005544905428701365,8.543082103614681e-05,1.989975879718068e-05,8.159208376365153e-06,3.80773631840641e-06,1.8063531608769424e-06,8.579559230675493e-07,4.081988109874202e-07,1.9446773940987384e-07,9.275837268086488e-08,4.429400537813862e-08,2.1173048285529108e-08,1.0130438557083772e-08,4.851093138344324e-09,2.324760930187529e-09
CNY/USD->GBP/USD,0.0,2.787341813133606,1.502606684024426,0.7956942281423645,0.4337282274451601,0.23827986579293375,0.13011435735637272,0.0702735369285605,0.03751241467764471,0.01980649045195311,0.010356351526939955,0.005369082344280655,0.00276290049704665,0.0014125903503329422,0.0007181332989932005,0.00036326980807881225
EUR/USD->GBP/USD,0.0,0.11362998058843095,0.02145081788101679,0.007779593975248389,0.003687870990081169,0.0017516163138087035,0.0008428285669094867,0.0004079094573062501,0.00019842379845028588,9.69080782472057e-05,4.747520669213731e-05,2.3310465953882326e-05,1.1462985080677058e-05,5.642142422358304e-06,2.778282277365781e-06,1.3681251034868747e-06
JPY/USD->GBP/USD,0.0,11.400183879793246,2.3690131868814026,0.9544876040518221,0.45994043955197117,0.21712333521079327,0.10255593186117005,0.04846869672137789,0.022919909896676978,0.01084279236598843,0.00513135780096816,0.0024292935184068607,0.0011504823746920124,0.0005450394222512655,0.00025829697916237914,0.00012244738407158592
GBP/USD->GBP/USD,0.0,0.0915105154425245,0.01771551277200977,0.0072394728281109585,0.0033901308355364715,0.0015970104302663927,0.0007622470972460106,0.0003672103052322376,0.00017829267445053327,8.711792954811491e-05,4.2779061379125406e-05,2.108314667378852e-05,1.0416423584724003e-05,5.154200098087056e-06,2.5522710954684363e-06,1.2640216343410299e-06
