"Name","Gross Export","Share","Code","Sector"
"Horses","1541162","0.00006067176657512856","0101","Agriculture"
"Bovine","60226880","0.0023709844941078736","0102","Agriculture"
"Swine","446058912","0.017560244924037714","0103","Agriculture"
"Sheep","1763119","0.00006940966907578443","0104","Agriculture"
"Fowl","18481274","0.0007275624120884063","0105","Agriculture"
"Other live animals","58191860","0.0022908707497930527","0106","Agriculture"
"Beef","2898024","0.00011408809434512424","0201","Agriculture"
"Beef (frozen)","61482812","0.002420427455417739","0202","Agriculture"
"Pork","414262176","0.016308485443565845","0203","Agriculture"
"Lamb","43893616","0.0017279839654042392","0204","Agriculture"
"Horse meat","533971","0.000021021128129221958","0205","Agriculture"
"Edible offal","3025859","0.00011912064464167423","0206","Agriculture"
"Poultry","553516928","0.02179060335707618","0207","Agriculture"
"Other meat","86501984","0.0034053708705077766","0208","Agriculture"
"Pig and poultry fat","2479040","0.0000975937222760532","0209","Agriculture"
"Preserved meat","16113827","0.0006343618324199559","0210","Agriculture"
"Live Fish","589437376","0.023204703261129125","0301","Agriculture"
"Fish, excluding fillets","139020592","0.0054728996088407224","0302","Agriculture"
"Frozen fish, excluding fillets","2546659840","0.10025574946613935","0303","Agriculture"
"Fish fillets","4405282304","0.17342515559417668","0304","Agriculture"
"Preserved fish","486714016","0.01916073661795151","0305","Agriculture"
"Crustaceans","1948152320","0.07669397689005773","0306","Agriculture"
"Molluscs","3119854592","0.12282102047297232","0307","Agriculture"
"Milk","26500114","0.0010432444680197777","0401","Agriculture"
"Milk, concentrated","60267404","0.0023725798245589815","0402","Agriculture"
"Fermented milk products","2257859","0.00008888636899141894","0403","Agriculture"
"Whey","733263","0.00002886676519027753","0404","Agriculture"
"Butter","9996172","0.00039352476522833813","0405","Agriculture"
"Cheese","1749219","0.00006886246018055195","0406","Agriculture"
"Eggs, in shell","165711008","0.006523635799679243","0407","Agriculture"
"Egg yolks","19295658","0.0007596227120117886","0408","Agriculture"
"Honey","248369712","0.009777706166383487","0409","Agriculture"
"Edible animal products, n.e.c.","51506388","0.0020276801204960953","0410","Agriculture"
"Human hair, unworked","15411165","0.0006066997535176646","0501","Agriculture"
"Brushmaking hair","116305600","0.004578666106859806","0502","Agriculture"
