"Name","Gross Export","Share","Code","Sector"
"Horses","107640","0.000004481641518223292","0101","Agriculture"
"Bovine","56350960","0.0023461984571510586","0102","Agriculture"
"Swine","442797472","0.018436078917498284","0103","Agriculture"
"Sheep","1352275","0.00005630259925729656","0104","Agriculture"
"Fowl","29612002","0.0012329094909040426","0105","Agriculture"
"Other live animals","41913308","0.0017450800938208883","0106","Agriculture"
"Beef","11039128","0.0004596192342045824","0201","Agriculture"
"Beef (frozen)","47666376","0.0019846117586848964","0202","Agriculture"
"Pork","313622400","0.013057814649617545","0203","Agriculture"
"Lamb","32241898","0.0013424064353690125","0204","Agriculture"
"Horse meat","142312","0.000005925226381841258","0205","Agriculture"
"Edible offal","13503551","0.0005622266332687257","0206","Agriculture"
"Poultry","494673792","0.020595973654813755","0207","Agriculture"
"Other meat","63690744","0.0026517937814653568","0208","Agriculture"
"Pig and poultry fat","131122","0.000005459325521669216","0209","Agriculture"
"Preserved meat","12821344","0.0005338226271815597","0210","Agriculture"
"Live Fish","584297152","0.024327483977915506","0301","Agriculture"
"Fish, excluding fillets","184920800","0.007699263608909938","0302","Agriculture"
"Frozen fish, excluding fillets","2282636800","0.09503864598573351","0303","Agriculture"
"Fish fillets","3999420928","0.1665177525062795","0304","Agriculture"
"Preserved fish","464922112","0.01935724860534429","0305","Agriculture"
"Crustaceans","1676709632","0.06981058622051371","0306","Agriculture"
"Molluscs","2472890368","0.10295994187331171","0307","Agriculture"
"Milk","23815428","0.0009915664334732208","0401","Agriculture"
"Milk, concentrated","37660080","0.0015679949656968656","0402","Agriculture"
"Fermented milk products","1191545","0.00004961053086985667","0403","Agriculture"
"Whey","4779786","0.00019900861562451166","0404","Agriculture"
"Butter","3217442","0.0001339596957420604","0405","Agriculture"
"Cheese","1176555","0.00004898641524036793","0406","Agriculture"
"Eggs, in shell","146131136","0.0060842378874278544","0407","Agriculture"
"Egg yolks","19962004","0.0008311273310418006","0408","Agriculture"
"Honey","234652096","0.009769849273241522","0409","Agriculture"
"Edible animal products, n.e.c.","55421972","0.0023075196092252766","0410","Agriculture"
"Human hair, unworked","11592898","0.0004826757059952412","0501","Agriculture"
"Brushmaking hair","111123848","0.004626693151816558","0502","Agriculture"
"Animal guts, except fish","933671040","0.03887382847665105","0504","Agriculture"
"Feathers and down","947776192","0.039461103047666014","0505","Agriculture"
"Bones, simply prepared","4791892","0.00019951265457118214","0506","Agriculture"
"Whalebone & horns","8278491","0.00034467882733034053","0507","Agriculture"
"Coral and shells","9377930","0.0003904544820047543","0508","Agriculture"
"Sponges of animal origin","18836","7.842456302234663e-7","0509","Agriculture"
"Animal products used in pharmaceuticals","3271151","0.0001361958949644894","0510","Agriculture"
"Animal products n.e.c.","196990944","0.008201809674325523","0511","Agriculture"
"Flower bulbs","15684599","0.0006530355822657332","0601","Agriculture"
"Other live plants","142198272","0.005920491263608403","0602","Agriculture"
"Cut flowers","83564720","0.0034792560257404705","0603","Agriculture"
"Other parts of plants","59770924","0.0024885902506593177","0604","Agriculture"
"Potatoes","125700680","0.00523360633925028","0701","Agriculture"
"Tomatoes","88507448","0.0036850488074023505","0702","Agriculture"
"Onions, shallots, garlic","1825689344","0.07601342589602605","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","355856512","0.01481625156734787","0704","Agriculture"
"Lettuce","50677032","0.0021099618230353986","0705","Agriculture"
"Carrots & turnips","364334496","0.01516923637861908","0706","Agriculture"
"Cucumbers","28531216","0.0011879104625696457","0707","Agriculture"
"Legumes","39798620","0.0016570340743217377","0708","Agriculture"
"Other vegetables","359138656","0.014952905160985809","0709","Agriculture"
"Frozen vegetables","912811584","0.038005335313726935","0710","Agriculture"
"Vegetables, provisionally preserved","206518352","0.008598487742458678","0711","Agriculture"
"Vegetables, dried","2041730432","0.08500839718572256","0712","Agriculture"
"Legumes, dried","993018624","0.041344792769299185","0713","Agriculture"
"Tubers","175265632","0.0072972661936904935","0714","Agriculture"
"Cashew nuts & coconuts","7883159","0.0003282189954399443","0801","Agriculture"
"Other nuts","420792736","0.017519901488520742","0802","Agriculture"
"Bananas and plantains","113740872","0.0047356541645682","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","37273936","0.0015519176804644908","0804","Agriculture"
"Citrus fruit","1109749504","0.04620493730912397","0805","Agriculture"
"Grapes","310657216","0.012934357833159243","0806","Agriculture"
"Melons and papayas","95607656","0.00398066927340775","0807","Agriculture"
"Apples & pears","1328866688","0.05532798328804048","0808","Agriculture"
"Peaches & cherries","60837572","0.0025330006367809254","0809","Agriculture"
"Other fresh fruit","206022032","0.008577823228167294","0810","Agriculture"
"Fruits and nuts, frozen","286729664","0.011938123064740007","0811","Agriculture"
"Fruits and nuts, provisionally preserved","55279328","0.002301580559868853","0812","Agriculture"
"Fruits, dried","135519664","0.005642424309904035","0813","Agriculture"
"Peel of citrus fruit or melons","3954430","0.00016464453427078902","0814","Agriculture"
"Coffee","212323248","0.008840177290234303","0901","Agriculture"
"Tea","1212288640","0.05047420197969574","0902","Agriculture"
"Mate","123469","0.000005140689303358525","0903","Agriculture"
"Pepper","312014336","0.012990862156247418","0904","Agriculture"
"Vanilla","333475","0.000013884386894179784","0905","Agriculture"
"Cinnamon","63203960","0.0026315263029740264","0906","Agriculture"
"Cloves","834061","0.00003472651808185467","0907","Agriculture"
"Nutmeg","1818301","0.00007570580875350176","0908","Agriculture"
"Anise, fennel, etc.","25010658","0.0010413303910338492","0909","Agriculture"
"Spices","439552736","0.018300982823357872","0910","Agriculture"
"Wheat and meslin","24970438","0.0010396558126070285","1001","Agriculture"
"Rye","26643","0.0000011092937102380448","1002","Agriculture"
"Barley","11029488","0.00045921786831610526","1003","Agriculture"
"Oats","169756","0.000007067870100032636","1004","Agriculture"
"Corn","37287236","0.0015524714321570993","1005","Agriculture"
"Rice","616931904","0.025686247072491137","1006","Agriculture"
"Grain sorghum","8466738","0.0003525165788249613","1007","Agriculture"
"Other cereals","60787864","0.0025309310210564007","1008","Agriculture"
"Wheat or meslin flour","149333888","0.006217585958180109","1101","Agriculture"
"Cereal flours","2957652","0.0001231432181313281","1102","Agriculture"
"Cereal meals","5400387","0.00022484762721732931","1103","Agriculture"
"Worked cereal grains","50192096","0.002089771286884515","1104","Agriculture"
"Potato flour","3733214","0.00015543410311048353","1105","Agriculture"
"Flour of dried legumes","44174680","0.0018392333699575258","1106","Agriculture"
"Malt","154225504","0.006421250667923748","1107","Agriculture"
"Starches","107070920","0.004457947607454149","1108","Agriculture"
"Wheat gluten","134240336","0.005589158892956566","1109","Agriculture"
"Soya beans","210282640","0.008755215626027517","1201","Agriculture"
"Peanuts","261707216","0.010896301791566618","1202","Agriculture"
"Linseed","7037662","0.0002930163341733776","1204","Agriculture"
"Rape or colza seeds","1944907","0.00008097710851247777","1205","Agriculture"
"Sunflower seeds","312516768","0.01301178114650461","1206","Agriculture"
"Other oil seeds","298685536","0.012435911362229445","1207","Agriculture"
"Flours of oil seeds","29094034","0.0012113436520531406","1208","Agriculture"
"Seeds used for sowing","304849184","0.012692537716563467","1209","Agriculture"
"Hop cones","327762","0.000013646523479151825","1210","Agriculture"
"Plants used in perfumery, pharmacy or insecticide","1140491136","0.047484879471044655","1211","Agriculture"
"Seaweeds & edible vegetable products","484699232","0.02018067820496231","1212","Agriculture"
"Cereal straw and husks","25553356","0.0010639258749492776","1213","Agriculture"
"Forage products","2634529","0.00010968984157713945","1214","Agriculture"
"Lac","32397032","0.0013488655116909007","1301","Agriculture"
"Vegetable saps and extracts","960603200","0.03999516149812479","1302","Agriculture"
"Vegetable materials used for plaiting","72169184","0.003004797578508882","1401","Agriculture"
"Vegetable products n.e.c.","46897120","0.0019525834269518757","1404","Agriculture"
"Pig and poultry fat, rendered","106365","0.000004428556299570981","1501","Agriculture"
"Bovine, sheep and goat fats","645041","0.000026856582372317635","1502","Agriculture"
"Lard oil, tallow oil etc.","11735","4.885921889293044e-7","1503","Agriculture"
"Fish oils","58731256","0.002445303189399859","1504","Agriculture"
"Wool grease","82351328","0.0034287358848534397","1505","Agriculture"
"Other animal fats and oils","2551944","0.00010625137664976606","1506","Agriculture"
"Soybean oil","133223024","0.005546802634166276","1507","Agriculture"
"Peanut oil","23348046","0.0009721067662856489","1508","Agriculture"
"Olive oil","4443475","0.00018500615054986287","1509","Agriculture"
"Olive oil, blended","128576","0.000005353321626227034","1510","Agriculture"
"Palm oil","14551859","0.0006058734249510523","1511","Agriculture"
"Sunflower seed oil","5442640","0.00022660685054573407","1512","Agriculture"
"Coconut & palm kernel oil","3895389","0.00016218633474572935","1513","Agriculture"
"Rapeseed, colza or mustard oil,","9448875","0.00039340831011243127","1514","Agriculture"
"Other vegetable fats and oils","89102344","0.0037098175793516723","1515","Agriculture"
"Vegetable fats, hydrogenated","7744261","0.0003224359125376944","1516","Agriculture"
"Margarine","28551430","0.0011887520818714794","1517","Agriculture"
"Animal or vegetable fats and oils, processed","65488428","0.002726641191824384","1518","Agriculture"
"Stearic acid","65138168","0.002712057953639946","1519","Agriculture"
"Glycerol","5935412","0.00024712364220513507","1520","Agriculture"
"Vegetable waxes and beeswax","58319140","0.00242814454785467","1521","Agriculture"
"Degras and wax residues","1805321","0.00007516538040988843","1522","Agriculture"
"Sausages","171897584","0.007157035947014825","1601","Agriculture"
"Other prepared or preserved meat","1815054720","0.07557064837420245","1602","Agriculture"
"Extracts and juices of meat or fish","19026680","0.0007921846808059154","1603","Agriculture"
"Prepared or preserved fish","2561080576","0.10663178224560407","1604","Agriculture"
"Prepared aquatic invertibrates","3125350912","0.1301254404146807","1605","Agriculture"
"Sugarcane & sucrose","48101932","0.0020027463355439755","1701","Agriculture"
"Other sugars","643339072","0.026785721807603524","1702","Agriculture"
"Molasses","13388424","0.0005574332670194831","1703","Agriculture"
"Confectionery sugar","699046912","0.0291051436641117","1704","Agriculture"
"Cocoa beans","4385006","0.00018257176651113193","1801","Agriculture"
"Cocoa residues","53973","0.000002247190985349923","1802","Agriculture"
"Cocoa paste","3800819","0.00015824886876302427","1803","Agriculture"
"Cocoa butter","99092792","0.004125774533480721","1804","Agriculture"
"Cocoa powder","22395190","0.0009324341630666953","1805","Agriculture"
"Chocolates","279734560","0.011646878652712044","1806","Agriculture"
"Malt extract","126020520","0.005246923026570872","1901","Agriculture"
"Pasta","762692288","0.031755048527773284","1902","Agriculture"
"Tapioca","8380503","0.00034892614444811265","1903","Agriculture"
"Cereal foods","192062304","0.007996603453103154","1904","Agriculture"
"Bakery products","485300832","0.02020572610107308","1905","Agriculture"
"Pickled fruits and vegetables","107796312","0.004488149641123668","2001","Agriculture"
"Tomatoes, prepared or preserved","938007360","0.039054373178883516","2002","Agriculture"
"Mushrooms, prepared or preserved","607649408","0.025299766029511374","2003","Agriculture"
"Other vegetables, frozen","282871552","0.011777488775245808","2004","Agriculture"
"Other vegetables, prepared or preserved","1536574976","0.06397601456990484","2005","Agriculture"
"Vegetables, fruits and nuts, preserved by sugar","197286304","0.008214107125447992","2006","Agriculture"
"Jams, jellies and marmalades","78786248","0.0032803021191177705","2007","Agriculture"
"Fruits and nuts, otherwise prepared","2456025600","0.1022577694052329","2008","Agriculture"
"Fruit juices","994429312","0.04140352742100914","2009","Agriculture"
"Coffee extracts","162740400","0.006775772327501539","2101","Agriculture"
"Yeasts","239163136","0.009957668524025302","2102","Agriculture"
"Sauces and seasonings","700978624","0.029185571392655457","2103","Agriculture"
"Soups and broths","90198104","0.0037554400571481084","2104","Agriculture"
"Ice cream","17639518","0.0007344295450598949","2105","Agriculture"
"Food preparations n.e.c.","1151633280","0.04794878782437448","2106","Agriculture"
"Waters","511901600","0.021313261462327503","2201","Agriculture"
"Waters, flavored or sweetened","202324608","0.008423879258370981","2202","Agriculture"
"Beer","160299328","0.006674137158194847","2203","Agriculture"
"Wine","43081012","0.0017936979935551452","2204","Agriculture"
"Wine, flavored","1623748","0.0000676055040127465","2205","Agriculture"
"Other fermented beverages","32398414","0.0013489230519043733","2206","Agriculture"
"Ethyl alcohol > 80%","43367560","0.0018056285529546609","2207","Agriculture"
"Spirits < 80% alcohol","323432928","0.013466280550774104","2208","Agriculture"
"Vinegars","14988697","0.0006240613784770429","2209","Agriculture"
"Flours of fish, for animal feed","10689891","0.0004450785891014632","2301","Agriculture"
"Cereal residues","62235832","0.002591217842924282","2302","Agriculture"
"Starch residues","298272032","0.01241869493065799","2303","Agriculture"
"Solid soybean residues","622845376","0.025932457232580797","2304","Agriculture"
"Solid peanut residues","669853","0.000027889641545024404","2305","Agriculture"
"Solid vegetable oil and fat residues","83810728","0.0034894986833641705","2306","Agriculture"
"Vegetable materials for animal feeding","61640564","0.0025664335825817536","2308","Agriculture"
"Animal feed","1408457856","0.05864179862613677","2309","Agriculture"
"Unmanufactured tobacco","693578496","0.028877463617804418","2401","Agriculture"
"Cigars and cigarettes","494274496","0.020579348779937685","2402","Agriculture"
"Other manufactured tobacco","170242160","0.007088111597993428","2403","Agriculture"
"Salt","117161656","0.004878080099158259","2501","Minerals"
"Unroasted iron pyrites","4307450","0.00017934268634030952","2502","Minerals"
"Sulphur, crude","8386399","0.0003491716271533472","2503","Minerals"
"Natural graphite","275253952","0.011460326452417697","2504","Minerals"
"Natural sands","73884568","0.003076218390048235","2505","Minerals"
"Quartz","52603296","0.0021901627215625157","2506","Minerals"
"Kaolin","110400704","0.004596584714673729","2507","Minerals"
"Clays","226873840","0.009445997963050427","2508","Minerals"
"Chalk","4906342","0.00020427783361020717","2509","Minerals"
"Natural calcium phosphates","64779712","0.002697133471179372","2510","Minerals"
"Natural barium sulfate","228128480","0.009498235483622927","2511","Minerals"
"Siliceous fossil meals and earths","5213502","0.0002170665832268689","2512","Minerals"
"Natural abrasives","19343234","0.0008053645539865143","2513","Minerals"
