"Name","Gross Export","Share","Code","Sector"
"Horses","1475911","0.00006547448597221079","0101","Agriculture"
"Bovine","55063160","0.002442716462581821","0102","Agriculture"
"Swine","443338400","0.01966741480464769","0103","Agriculture"
"Sheep","1088876","0.000048304807259704006","0104","Agriculture"
"Fowl","31092184","0.0013793140407202037","0105","Agriculture"
"Other live animals","38990424","0.0017296964174930269","0106","Agriculture"
"Beef","14634001","0.0006491947639063728","0201","Agriculture"
"Beef (frozen)","78551472","0.003484706904115836","0202","Agriculture"
"Pork","300664832","0.013338118169131549","0203","Agriculture"
"Lamb","43874020","0.0019463429075564148","0204","Agriculture"
"Horse meat","49666","0.00000220328720383263","0205","Agriculture"
"Edible offal","3070329","0.0001362061892895791","0206","Agriculture"
"Poultry","484762784","0.021505086757167502","0207","Agriculture"
"Other meat","61863568","0.0027443967252814756","0208","Agriculture"
"Pig and poultry fat","135593","0.000006015187891702127","0209","Agriculture"
"Preserved meat","11037435","0.0004896436052557969","0210","Agriculture"
"Live Fish","510475520","0.02264575728034889","0301","Agriculture"
"Fish, excluding fillets","175819360","0.007799713004349909","0302","Agriculture"
"Frozen fish, excluding fillets","2164283136","0.09601210765955696","0303","Agriculture"
"Fish fillets","4050622976","0.17969407181112326","0304","Agriculture"
"Preserved fish","459510016","0.020384821372482726","0305","Agriculture"
"Crustaceans","1430608384","0.06346476757062935","0306","Agriculture"
"Molluscs","2066019840","0.09165294318721737","0307","Agriculture"
"Milk","23480834","0.0010416587018789141","0401","Agriculture"
"Milk, concentrated","87139376","0.003865684212353727","0402","Agriculture"
"Fermented milk products","3287147","0.00014582468735587363","0403","Agriculture"
"Whey","3458237","0.00015341459610036128","0404","Agriculture"
"Butter","8986922","0.0003986785777884659","0405","Agriculture"
"Cheese","3158579","0.00014012114309576903","0406","Agriculture"
"Eggs, in shell","148226128","0.006575619761930849","0407","Agriculture"
"Egg yolks","21430634","0.0009507075597434964","0408","Agriculture"
"Honey","208004400","0.00922750841341932","0409","Agriculture"
"Edible animal products, n.e.c.","53631996","0.0023792270467282006","0410","Agriculture"
"Human hair, unworked","17400792","0.0007719353753101357","0501","Agriculture"
"Brushmaking hair","106763312","0.00473624288584526","0502","Agriculture"
"Animal guts, except fish","1057274880","0.046902915758017145","0504","Agriculture"
"Feathers and down","717926208","0.031848701876182564","0505","Agriculture"
"Bones, simply prepared","6905246","0.00030633109473515995","0506","Agriculture"
"Whalebone & horns","8330656","0.0003695652511644087","0507","Agriculture"
"Coral and shells","8853980","0.00039278099377823924","0508","Agriculture"
"Sponges of animal origin","4241","1.8813959311106563e-7","0509","Agriculture"
"Animal products used in pharmaceuticals","2976663","0.00013205097044300022","0510","Agriculture"
"Animal products n.e.c.","184243504","0.008173425577910159","0511","Agriculture"
"Flower bulbs","12020183","0.0005332403533931968","0601","Agriculture"
"Other live plants","115271816","0.005113697844709649","0602","Agriculture"
"Cut flowers","91431816","0.004056105791003494","0603","Agriculture"
"Other parts of plants","61468036","0.0027268501019515052","0604","Agriculture"
"Potatoes","128244304","0.00568918443135388","0701","Agriculture"
